away_score,away_team,date,home_score,home_team
0,Académica OAF,2018-07-14,3,Porto
0,Académica OAF,2018-07-31,1,Sporting
0,AEK,2018-12-12,1,Benfica
0,Belenenses SAD,2018-11-24,2,Porto
0,Belenenses SAD,2019-01-30,3,Porto
0,Belenenses SAD,2019-11-10,2,Sporting
0,Benfica,2018-10-23,1,Ajax
0,Benfica,2018-10-27,2,Belenenses SAD
0,Benfica,2019-01-02,2,Portimonense
0,Benfica,2019-03-07,1,Dinamo Zagreb
0,Benfica,2019-04-03,1,Sporting
0,Benfica,2019-04-18,2,Eintracht Frankfurt
0,Boavista,2018-10-28,3,Sporting
0,Boavista,2019-04-05,2,Porto
0,CD Aves,2018-09-23,2,Benfica
0,CD Aves,2019-05-04,4,Porto
0,CD Aves,2019-11-03,1,Porto
0,CD Cova Piedade,2019-07-30,6,Benfica
0,CD Tondela,2018-09-28,1,Porto
0,CD Tondela,2019-03-30,1,Benfica
0,CD Tondela,2019-12-16,3,Porto
0,Chivas,2019-07-20,3,Benfica
0,Dinamo Zagreb,2019-03-14,3,Benfica
0,FC Famalicão,2019-10-27,3,Porto
0,FC Famalicão,2019-12-14,4,Benfica
0,FC Penafiel,2019-07-13,1,Porto
0,Feirense,2018-09-01,1,Sporting
0,Feirense,2018-10-28,2,Porto
0,Feirense,2018-12-01,4,Benfica
0,Fenerbahçe,2018-08-07,1,Benfica
0,FK Napredak,2018-07-10,3,Benfica
0,Fulham,2019-07-16,1,Porto
0,Galatasaray,2018-10-03,1,Porto
0,Galatasaray,2019-02-21,0,Benfica
0,GD Chaves,2018-08-11,5,Porto
0,GD Chaves,2019-02-25,4,Benfica
0,Gil Vicente,2019-09-14,2,Benfica
0,Karabakh,2018-09-20,2,Sporting
0,Marítimo,2018-09-29,2,Sporting
0,Marítimo,2019-03-16,3,Porto
0,Marítimo,2019-04-22,6,Benfica
0,Marítimo,2019-11-30,4,Benfica
0,Moreirense,2018-09-02,3,Porto
0,Moreirense,2019-12-08,1,Sporting
0,Nacional,2019-02-10,10,Benfica
0,Newcastle,2018-07-28,0,Porto
0,Nice,2018-07-14,1,Sporting
0,Paços de Ferreira,2018-12-05,2,Benfica
0,Paços de Ferreira,2019-08-10,5,Benfica
0,Paços de Ferreira,2019-12-02,2,Porto
0,Portimonense,2019-10-30,4,Benfica
0,Porto,2018-10-07,1,Benfica
0,Porto,2019-01-12,0,Sporting
0,Porto,2019-02-03,0,V. Guimarães
0,Porto,2019-04-09,2,Liverpool
0,Porto,2019-10-03,2,Feyenoord
0,Porto,2019-11-07,2,Rangers
0,PSV,2019-11-28,4,Sporting
0,RD Águeda,2019-07-06,6,Porto
0,Rio Ave,2019-04-07,3,Sporting
0,Rio Ave,2019-11-02,2,Benfica
0,Rosenborg,2019-10-24,1,Sporting
0,Santa Clara,2019-03-15,1,Sporting
0,Santa Clara,2019-04-20,1,Porto
0,Santa Clara,2019-09-22,2,Porto
0,Santa Clara,2019-09-25,1,Porto
0,Santa Clara,2019-12-19,1,Porto
0,SC Braga,2018-11-10,1,Porto
